id,answer
009001,ㄨㄛˇ ㄇㄣ˙ ㄔㄥˊ ㄕˋ ㄉㄜ˙ ㄈㄨˋ ㄙㄨ ㄧㄡˇ ㄌㄞˋ ㄧˊ ㄊㄚ ㄑㄧㄤˊ ㄧㄡˇ ㄌㄧˋ ㄉㄜ˙ ㄓㄥˋ ㄘㄜˋ
009002,ㄓㄜˋ ㄧㄤˋ ㄗㄨㄛˋ ㄉㄜ˙ ㄧ ㄐㄩˋ ㄐㄧㄡˋ ㄕˋ ㄙㄨ ㄖㄣˊ ㄊㄨㄥ ㄦˋ ㄙㄢ ㄑㄧ ㄏㄠˋ ㄨㄣˊ ㄐㄧㄢˋ
009003,ㄓㄜˋ ㄐㄧㄤ ㄏㄨㄟˋ ㄏㄣˇ ㄉㄚˋ ㄔㄥˊ ㄉㄨˋ ㄉㄜ˙ ㄏㄨㄢˊ ㄐㄧㄝˇ ㄧㄤˊ ㄌㄠˇ ㄐㄧㄣ ㄉㄜ˙ ㄑㄩㄜ ㄎㄡˇ
009004,ㄨㄟˋ ㄕㄥˊ ㄇㄜ˙ ㄐㄧˇ ㄈㄥˊ ㄨ ㄍㄠˋ ㄒㄧㄝˋ ㄐㄧㄡˋ ㄩㄥˊ ㄋㄚˋ ㄇㄜ˙ ㄉㄚˋ ㄉㄜ˙ ㄅㄨˋ ㄏㄨㄞˋ ㄌㄧˋ
009005,ㄍㄤ ㄇㄞˇ ㄉㄜ˙ ㄎㄨˋ ㄗ˙ ㄅㄨˊ ㄉㄠˋ ㄕˊ ㄈㄣ ㄓㄨㄥ ㄋㄧˇ ㄐㄧㄡˋ ㄋㄨㄥˋ ㄆㄛˋ ㄌㄜ˙
009006,ㄧㄣ ㄘˇ ㄓˇ ㄋㄥˊ ㄧˇ ㄗㄨㄟˋ ㄅㄣˋ ㄉㄜ˙ ㄈㄤ ㄕˋ ㄅㄨˊ ㄉㄨㄢˋ ㄧˊ ㄌㄨㄢˇ ㄐㄧ ㄕˊ
009007,ㄌㄧㄤˇ ㄖㄣˊ ㄘㄨㄛˋ ㄔㄜ ㄓ ㄐㄧˋ ㄇㄠˊ ㄉㄧㄝ ㄉㄧㄝ˙ ㄊㄨ ㄖㄢˊ ㄕㄨㄞ ㄉㄠˇ ㄕㄡˋ ㄕㄤ
009008,ㄊㄨㄥˊ ㄕˊ ㄇㄨˋ ㄇㄧㄣˊ ㄐㄧㄡˋ ㄧㄝˋ ㄑㄩˊ ㄉㄠˋ ㄓㄞˇ ㄕㄡ ㄖㄨˋ ㄗㄥ ㄓㄤˊ ㄏㄨㄢˇ ㄇㄢˋ
009009,ㄋㄧˇ ㄇㄧㄥˊ ㄒㄧㄥ ㄧㄝˇ ㄕˋ ㄆㄧㄥˊ ㄈㄢ ㄖㄣˊ ㄋㄧˊ ㄧˇ ㄨㄟˊ ㄗㄞˋ ㄩˊ ㄌㄜˋ ㄑㄨㄢ ㄆㄞ ㄒㄧˋ ㄍㄢˇ ㄊㄨㄥˊ ㄍㄠ ㄏㄣˇ ㄩㄥˊ ㄧˋ ㄇㄚ˙
009010,ㄒㄩˇ ㄉㄨㄛ ㄉㄠˋ ㄌㄧˇ ㄖㄣˊ ㄇㄣ˙ ㄧˇ ㄐㄧㄥ ㄓㄥˋ ㄇㄧㄥˊ ㄍㄨㄛˋ ㄑㄧㄢ ㄅㄧㄢˋ ㄨㄢˋ ㄅㄧㄢˋ ㄨㄟˋ ㄕㄣˊ ㄇㄜ˙ ㄏㄞˊ ㄧㄠˋ ㄉㄞˋ ㄓㄜ˙ ㄐㄧㄠˇ ㄒㄧㄥˋ ㄉㄜ˙ ㄒㄧㄣ ㄌㄧˇ ㄗㄞˋ ㄑㄩˋ ㄕˋ ㄧㄢˋ ㄧ ㄏㄨㄟˊ ㄋㄜ˙
009011,ㄗㄨㄛˊ ㄊㄧㄢ ㄊㄚ ㄒㄧㄤˋ ㄔㄥˊ ㄉㄨˋ ㄕㄤ ㄅㄠˋ ㄐㄧˋ ㄓㄜˇ ㄨㄟˊ ㄨㄟˇ ㄉㄠˋ ㄌㄞˊ
009012,ㄌㄧㄣˊ ㄈㄥ ㄩˇ ㄉㄨㄛ ㄨㄟˋ ㄋㄧㄢˊ ㄑㄧㄥ ㄇㄛˊ ㄊㄜˋ ㄋㄚˊ ㄐㄧˇ ㄉㄠˋ ㄐㄩˋ ㄉㄢˋ ㄍㄠ ㄏㄜˊ ㄓㄠˋ
009013,ㄉㄨㄟˋ ㄩˊ ㄨˊ ㄌㄧˋ ㄎㄜˇ ㄊㄨˊ ㄉㄜ˙ ㄎㄜˋ ㄏㄨˋ ㄑㄩˊ ㄉㄠˋ ㄧㄝˊ ㄅㄚˇ ㄊㄚ ㄇㄣ˙ ㄑㄧㄚ ㄉㄨㄢˋ ㄌㄜ˙
009014,ㄇㄟˇ ㄐㄩㄋ ㄨㄟˋ ㄏㄜˊ ㄏㄞˊ ㄆㄛˋ ㄅㄨˋ ㄐㄧˊ ㄉㄞˋ ㄉㄜ˙ ㄧㄠˋ ㄉㄨㄥˋ ㄩㄥˋ ㄉㄧˋ ㄙˋ ㄅㄨˋ ㄅㄧㄥ ㄕ
009015,ㄦˊ ㄧˊ ㄇㄧㄣˊ ㄩˇ ㄍㄨㄢ ㄑㄧㄚˇ ㄐㄩˊ ㄧˊ ㄓㄢˇ ㄎㄞ ㄉㄧㄠˋ ㄔㄚˊ ㄓㄠˇ ㄨㄛˋ ㄌㄧㄤˇ ㄖㄣˊ ㄉㄜ˙ ㄗㄨㄟˋ ㄓㄥˋ
009016,ㄨㄟˋ ㄌㄜ˙ ㄉㄨㄛ ㄓㄥˋ ㄐㄧˇ ㄍㄜ˙ ㄈㄚˇ ㄌㄤˊ ㄊㄚ ㄇㄟˇ ㄓㄡ ㄔㄠ ㄈㄨˋ ㄏㄜˋ ㄉㄜ˙ ㄍㄨㄥ ㄗㄨㄛˋ
